Question,Option A,Option B,Option C,Option D,Correct Answer
"Which Pakistani cricketer is known for his exceptional spin bowling and is often called the ""Magician""?",Saqlain Mushtaq,Shahid Afridi,Saeed Ajmal,Abdul Qadir,C
In which province is the famous Shandur Polo Ground located?,Khyber Pakhtunkhwa,Punjab,Sindh,Gilgit-Baltistan,A
What is the name of the traditional Pakistani game similar to hopscotch  played with chalk on the ground?,Snakes and Ladders,Ludo,Carrom,Pittu Garam,D
"Which Pakistani mountain is known as the ""Bride of the Himalayas""?",Nanga Parbat,Broad Peak,Masherbrum,Gasherbrum II,A
What is the name of the traditional Pakistani sweet made from deep-fried dough soaked in sugar syrup?,Gulab Jamun,Jalebi,Sohan Halwa,Rasgulla,B
In which year did Pakistan become a member of the Nuclear Suppliers Group (NSG)?,1974,1987,1998,2004,C
"What is the name of the famous Pakistani singer who collaborated with Eddie Vedder on the song ""The Long Road"" for the movie ""Dead Man Walking""?",Abida Parveen,Farida Khanum,Nusrat Fateh Ali Khan,Rahat Fateh Ali Khan,C
In which province is the famous Deosai National Park located?,Punjab,Sindh,Gilgit-Baltistan,Khyber Pakhtunkhwa,C
What is the name of the traditional Pakistani cap often worn by men in rural areas?,Topi,Pagri,Peshawari Cap,Kufi,A
"Which river is known as the ""River of Khyber"" in Pakistan?",Indus River,Jhelum River,Kurram River,Kabul River,C
What is the name of the traditional Pakistani art of weaving intricate patterns on fabric using gold or silver threads?,Aari Work,Zardozi,Kasuti,Phulkari,B
In which city is the famous Fakir Khana Museum located?,Lahore,Karachi,Islamabad,Faisalabad,A
Which Pakistani cricketer holds the record for the fastest century in One Day Internationals (ODIs)?,Fakhar Zaman,Babar Azam,Imam-ul-Haq,Yasir Shah,B
What is the name of the traditional Pakistani rice dish cooked with meat  lentils  and vegetables?,Biryani,Khichdi,Pulao,Haleem,A
"Which river is known as the ""River of Chenab"" in Pakistan?",Indus River,Jhelum River,Chenab River,Ravi River,C
What is the name of the famous Pakistani mountaineer who climbed K2 without supplemental oxygen?,Nazir Sabir,Hassan Sadpara,Muhammad Ali Sadpara,Ashraf Aman,C
In which province is the famous Rawat Fort located?,Punjab,Sindh,Khyber Pakhtunkhwa,Balochistan,A
What is the name of the traditional Pakistani bread made with gram flour?,Roti,Naan,Paratha,Besan Ki Roti,B
Which Pakistani city is known for its traditional Multani blue pottery?,Multan,Lahore,Karachi,Islamabad,B
In which province is the famous Hingol National Park located?,Balochistan,Sindh,Khyber Pakhtunkhwa,Punjab,A
What is the name of the traditional Pakistani sweet made from sesame seeds and jaggery?,Gulab Jamun,Til Ke Ladoo,Barfi,Jalebi,B
"Which Pakistani mountain is known as the ""Killer Mountain"" due to its high fatality rate among climbers?",Gasherbrum I,Nanga Parbat,K2,Broad Peak,B
In which province is the famous Neelum Valley located?,Azad Jammu and Kashmir,Balochistan,Gilgit-Baltistan,Khyber Pakhtunkhwa,A
Which Pakistani cricketer was the fastest to reach 1000 runs in One Day Internationals (ODIs)?,Babar Azam,Imam-ul-Haq,Younis Khan,Fakhar Zaman,A
What is the name of the Pakistani dish made from minced meat and lentils often served with naan?,Kabuli Pulao,Nihari,Haleem,Keema Curry,C
What is the name of the traditional Pakistani game involving a wooden board and seeds often played during festivals?,Cricket,Carrom,Ludo,Polo,C
Which Pakistani city is known for its traditional Sindhi Ajrak and Topi?,Karachi,Lahore,Hyderabad,Islamabad,C
What is the name of the famous mountain in Pakistan known for its distinctive pyramid shape?,K2,Nanga Parbat,Gasherbrum I,Broad Peak,C
"Which Pakistani actress played the lead role in the film ""Verna"" directed by Shoaib Mansoor?",Mahira Khan,Sajal Aly,Mehwish Hayat,Ayesha Omar,C
What is the name of the ancient city near Rawalpindi believed to be associated with the Gandhara civilization?,Bhirrana,Mohenjo-Daro,Taxila,Harappa,B
What is the name of the traditional Pakistani cap  often worn by men in Punjab?,Kufi,Topi,Pagri,Peshawari Cap,A
"Which Pakistani actress received critical acclaim for her role in the film ""Bol"" directed by Shoaib Mansoor?",Mahira Khan,Sajal Aly,Mehwish Hayat,Atif Aslam,B
In which province is the famous Mohatta Palace located?,Sindh,Punjab,Khyber Pakhtunkhwa,Balochistan,B
What is the name of the highest battlefield in the world located near the Siachen Glacier?,Baltoro Glacier,Saltoro Ridge,Karakoram Range,Siachen Glacier,C
Which Pakistani scientist is known for his groundbreaking work in the field of string theory?,Pervez Hoodbhoy,Abdus Salam,Abdul Sattar Edhi,Atiyah Abd al-Rahman,B
In which province is the famous Uch Sharif located  known for its ancient shrines and tombs?,Balochistan,Punjab,Sindh,Khyber Pakhtunkhwa,A
Which river flows through the famous Swat Valley in Pakistan?,Indus River,Sutlej River,Swat River,Jhelum River,C
What is the name of the famous salt lake in the Cholistan Desert of Pakistan?,Mansar Lake,Kallar Kahar Lake,Haleji Lake,Rankila Lake,C
"Which Pakistani actress received the Lux Style Award for Best Actress in 2020 for her role in the film ""Superstar""?",Saba Qamar,Mahira Khan,Mehwish Hayat,Sajal Aly,B
What is the name of the famous Pakistani mountaineer who became the first Pakistani woman to climb Mount Everest?,Samina Baig,Nazia Parveen,Bushra Naz,Amina Hanif,D
In which province is the famous Ranikot Fort  the largest fort in the world  located?,Balochistan,Khyber Pakhtunkhwa,Sindh,Punjab,C
What is the name of the famous Pakistani mountaineer who climbed Mount Everest at the age of 23?,Nazir Sabir,Hassan Sadpara,Samina Baig,Ashraf Aman,D
Which Pakistani city is known for its historic Mohatta Palace and Clifton Beach?,Karachi,Lahore,Islamabad,Faisalabad,C
"Which Pakistani cricketer has the nickname ""Captain Cool"" due to his calm demeanor on the field?",Sarfaraz Ahmed,Misbah-ul-Haq,Shoaib Malik,Imran Khan,B
